user_id,date_served,marketing_channel,variant,language_displayed,language_preferred,age_group,date_subscribed,date_canceled
a100000110,1/4/2018,Youtube,control,Spanish,Spanish,45-55 years,1/4/2018,1/23/2018
a100000111,1/5/2018,Youtube,control,English,English,55+ years,1/5/2018,2/11/2018
a100000112,1/5/2018,Youtube,control,English,English,0-18 years,1/5/2018,
a100000113,1/5/2018,Youtube,control,English,English,19-24 years,1/5/2018,
a100000114,1/5/2018,Youtube,control,English,English,24-30 years,1/5/2018,
a100000115,1/4/2018,Youtube,control,English,English,24-30 years,,
a100000116,1/5/2018,Youtube,control,English,English,30-36 years,1/5/2018,
a100000117,1/4/2018,Youtube,control,English,English,30-36 years,,
a100000118,1/5/2018,Youtube,control,English,English,36-45 years,1/5/2018,4/13/2018
a100000119,1/4/2018,Youtube,control,English,English,36-45 years,,
a100000120,1/5/2018,Youtube,control,English,English,45-55 years,1/5/2018,4/12/2018
a100000121,1/4/2018,Youtube,control,English,English,45-55 years,,
a100000122,1/5/2018,Youtube,control,Spanish,Spanish,55+ years,1/5/2018,4/3/2018
a100000123,1/4/2018,Youtube,control,Spanish,Spanish,55+ years,,
a100000124,1/5/2018,Youtube,control,English,English,0-18 years,1/5/2018,2/17/2018
a100000125,1/4/2018,Youtube,control,English,English,0-18 years,,
a100000126,1/5/2018,Youtube,control,English,English,19-24 years,1/5/2018,4/14/2018
a100000127,1/4/2018,Youtube,control,English,English,19-24 years,,
a100000128,1/5/2018,Youtube,control,English,English,24-30 years,1/5/2018,1/11/2018
a100000129,1/4/2018,Youtube,control,English,English,24-30 years,,
a100000130,1/5/2018,Youtube,control,English,English,30-36 years,1/5/2018,2/3/2018
a100000131,1/4/2018,Youtube,control,English,English,30-36 years,,
a100000132,1/5/2018,Youtube,control,Spanish,Spanish,36-45 years,1/5/2018,1/8/2018
a100000133,1/4/2018,Youtube,control,Spanish,Spanish,36-45 years,,
a100000134,1/5/2018,Youtube,control,Spanish,Spanish,45-55 years,1/5/2018,1/27/2018
a100000135,1/4/2018,Youtube,control,Spanish,Spanish,45-55 years,,
a100000136,1/5/2018,Youtube,control,English,English,55+ years,1/5/2018,
a100000137,1/4/2018,Youtube,control,English,English,55+ years,,
a100000138,1/5/2018,Youtube,control,English,English,0-18 years,1/5/2018,
a100000139,1/4/2018,Youtube,control,English,English,0-18 years,,
a100000140,1/5/2018,Youtube,control,English,English,19-24 years,1/5/2018,
a100000141,1/5/2018,Youtube,control,English,English,24-30 years,1/5/2018,
a100000142,1/5/2018,Youtube,control,English,English,30-36 years,1/5/2018,
a100000143,1/5/2018,Youtube,control,English,English,36-45 years,1/5/2018,
a100000144,1/6/2018,Youtube,control,English,English,45-55 years,1/6/2018,
a100000145,1/6/2018,Youtube,control,Spanish,Spanish,55+ years,1/6/2018,
a100000146,1/6/2018,Youtube,control,English,English,0-18 years,1/6/2018,
a100000147,1/6/2018,Youtube,control,English,English,19-24 years,1/6/2018,
a100000148,1/6/2018,Youtube,control,English,English,24-30 years,1/6/2018,
a100000149,1/6/2018,Youtube,control,English,English,30-36 years,1/6/2018,
a100000150,1/6/2018,Youtube,control,English,English,36-45 years,1/6/2018,
a100000151,1/6/2018,Youtube,control,Arabic,Arabic,45-55 years,1/6/2018,
a100000152,1/6/2018,Youtube,control,Spanish,Spanish,55+ years,1/6/2018,
a100000153,1/6/2018,Youtube,control,Arabic,Arabic,0-18 years,1/6/2018,
a100000154,1/6/2018,Youtube,control,English,English,19-24 years,1/6/2018,
a100000155,1/6/2018,Youtube,control,English,English,24-30 years,1/6/2018,
a100000156,1/6/2018,Youtube,control,English,English,30-36 years,1/6/2018,
a100000157,1/6/2018,Youtube,control,English,English,36-45 years,1/6/2018,
a100000158,1/6/2018,Youtube,control,English,English,45-55 years,1/6/2018,
a100000159,1/6/2018,Youtube,control,Arabic,Arabic,55+ years,1/6/2018,
a100000160,1/6/2018,Youtube,control,English,English,0-18 years,1/6/2018,3/10/2018
a100000161,1/7/2018,Youtube,control,Arabic,Arabic,19-24 years,1/7/2018,3/11/2018
a100000162,1/7/2018,Youtube,control,English,English,24-30 years,1/7/2018,3/25/2018
a100000163,1/7/2018,Youtube,control,English,English,30-36 years,1/7/2018,2/21/2018
a100000164,1/7/2018,Youtube,control,English,English,36-45 years,1/7/2018,2/25/2018
a100000165,1/7/2018,Youtube,control,English,English,45-55 years,1/7/2018,3/5/2018
a100000166,1/7/2018,Youtube,control,English,English,55+ years,1/7/2018,4/16/2018
a100000167,1/7/2018,Youtube,control,English,English,0-18 years,1/7/2018,2/6/2018
a100000168,1/7/2018,Youtube,control,German,German,19-24 years,1/7/2018,2/5/2018
a100000169,1/7/2018,Youtube,control,English,English,24-30 years,1/7/2018,
a100000170,1/7/2018,Youtube,control,English,English,30-36 years,1/7/2018,
a100000171,1/7/2018,Youtube,control,German,German,36-45 years,1/7/2018,
a100000172,1/7/2018,Youtube,control,Arabic,Arabic,45-55 years,1/7/2018,
a100000173,1/7/2018,Youtube,control,English,English,55+ years,1/7/2018,
a100000174,1/7/2018,Youtube,control,English,English,0-18 years,1/7/2018,
a100000175,1/7/2018,Youtube,control,English,English,19-24 years,1/7/2018,
a100000176,1/7/2018,Youtube,control,English,English,24-30 years,1/7/2018,
a100000177,1/7/2018,Youtube,control,English,English,30-36 years,1/7/2018,
a100000178,1/7/2018,Youtube,control,English,English,36-45 years,1/7/2018,
a100000179,1/7/2018,Youtube,control,Spanish,Spanish,45-55 years,1/7/2018,1/14/2018
a100000180,1/8/2018,Youtube,control,English,English,55+ years,1/8/2018,3/13/2018
a100000181,1/8/2018,Youtube,control,English,English,0-18 years,1/8/2018,2/22/2018
a100000182,1/8/2018,Youtube,control,English,English,19-24 years,1/8/2018,1/11/2018
a100000183,1/8/2018,Youtube,control,German,German,24-30 years,1/8/2018,3/19/2018
a100000184,1/8/2018,Youtube,control,German,German,30-36 years,1/8/2018,2/10/2018
a100000185,1/8/2018,Youtube,control,English,English,36-45 years,1/8/2018,3/30/2018
a100000186,1/8/2018,Youtube,control,English,English,45-55 years,1/8/2018,1/15/2018
a100000187,1/8/2018,Youtube,control,English,English,55+ years,1/8/2018,2/21/2018
a100000188,1/8/2018,Youtube,control,English,English,0-18 years,1/8/2018,
a100000189,1/8/2018,Youtube,control,English,English,19-24 years,1/8/2018,
a100000190,1/8/2018,Youtube,control,English,English,24-30 years,1/8/2018,
a100000191,1/8/2018,Youtube,control,English,English,30-36 years,1/8/2018,
a100000192,1/8/2018,Youtube,control,German,German,36-45 years,1/8/2018,
a100000193,1/8/2018,Youtube,control,English,English,45-55 years,1/8/2018,
a100000194,1/8/2018,Youtube,control,Spanish,Spanish,55+ years,1/8/2018,
a100000195,1/8/2018,Youtube,control,Spanish,Spanish,0-18 years,1/8/2018,
a100000196,1/9/2018,Youtube,control,Spanish,Spanish,19-24 years,1/9/2018,
a100000197,1/9/2018,Youtube,control,English,English,24-30 years,1/9/2018,
a100000198,1/9/2018,Youtube,control,English,English,30-36 years,1/9/2018,
a100000199,1/9/2018,Youtube,control,English,English,36-45 years,1/9/2018,
a100000200,1/9/2018,Youtube,control,English,English,45-55 years,1/9/2018,
a100000201,1/9/2018,Youtube,control,English,English,55+ years,1/9/2018,
a100000202,1/9/2018,Youtube,control,English,English,0-18 years,1/9/2018,
a100000203,1/9/2018,Youtube,control,English,English,19-24 years,1/9/2018,
a100000204,1/9/2018,Youtube,control,English,English,24-30 years,1/9/2018,
a100000205,1/9/2018,Youtube,control,English,English,30-36 years,1/9/2018,
a100000206,1/9/2018,Youtube,control,English,English,36-45 years,1/9/2018,
a100000207,1/9/2018,Youtube,control,English,English,45-55 years,1/9/2018,
a100000208,1/9/2018,Youtube,control,English,English,55+ years,1/9/2018,
a100000209,1/9/2018,Youtube,control,English,English,0-18 years,1/9/2018,
a100000210,1/9/2018,Youtube,control,English,English,19-24 years,1/9/2018,
a100000211,1/9/2018,Youtube,control,English,English,24-30 years,1/9/2018,
a100000212,1/9/2018,Youtube,control,English,English,30-36 years,1/9/2018,
a100000213,1/9/2018,Youtube,control,English,English,36-45 years,1/9/2018,1/14/2018
a100000214,1/9/2018,Youtube,control,English,English,45-55 years,1/9/2018,2/4/2018
a100000215,1/9/2018,Youtube,control,English,English,55+ years,1/9/2018,2/4/2018
a100000216,1/10/2018,Youtube,control,German,German,0-18 years,1/10/2018,2/9/2018
a100000217,1/10/2018,Youtube,control,German,German,19-24 years,1/10/2018,1/21/2018
a100000218,1/10/2018,Youtube,control,English,English,24-30 years,1/10/2018,3/7/2018
a100000219,1/10/2018,Youtube,control,English,English,30-36 years,1/10/2018,4/10/2018
a100000220,1/10/2018,Youtube,control,Spanish,Spanish,36-45 years,1/10/2018,4/16/2018
a100000221,1/10/2018,Youtube,control,English,English,45-55 years,1/10/2018,3/26/2018
a100000222,1/10/2018,Youtube,control,English,English,55+ years,1/10/2018,
a100000223,1/10/2018,Youtube,control,English,English,0-18 years,1/10/2018,
a100000224,1/10/2018,Youtube,control,English,English,19-24 years,1/10/2018,
a100000225,1/10/2018,Youtube,control,English,English,24-30 years,1/10/2018,
a100000226,1/10/2018,Youtube,control,Spanish,Spanish,30-36 years,1/10/2018,
a100000227,1/10/2018,Youtube,control,English,English,36-45 years,1/10/2018,
a100000228,1/10/2018,Youtube,control,English,English,45-55 years,1/10/2018,
a100000229,1/10/2018,Youtube,control,English,English,55+ years,1/10/2018,
a100000230,1/10/2018,Youtube,control,English,English,0-18 years,1/10/2018,
a100000231,1/10/2018,Youtube,control,English,English,19-24 years,1/10/2018,
a100000232,1/10/2018,Youtube,control,English,English,24-30 years,1/10/2018,
a100000233,1/10/2018,Youtube,control,Spanish,Spanish,30-36 years,1/10/2018,
a100000234,1/10/2018,Youtube,personalization,English,English,36-45 years,1/10/2018,
a100000235,1/10/2018,Youtube,personalization,English,English,45-55 years,1/10/2018,
a100000236,1/10/2018,Youtube,personalization,Spanish,Spanish,55+ years,1/10/2018,4/19/2018
a100000237,1/11/2018,Youtube,personalization,English,English,0-18 years,1/11/2018,3/4/2018
a100000238,1/12/2018,Youtube,personalization,English,Spanish,19-24 years,1/12/2018,1/26/2018
a100000239,1/13/2018,Youtube,personalization,English,English,24-30 years,1/13/2018,4/5/2018
a100000240,1/14/2018,Youtube,personalization,English,English,30-36 years,1/14/2018,1/26/2018
a100000241,1/15/2018,Youtube,personalization,English,English,36-45 years,1/15/2018,3/15/2018
a100000242,1/16/2018,Youtube,personalization,English,English,45-55 years,1/16/2018,4/22/2018
a100000243,1/17/2018,Youtube,personalization,English,English,55+ years,1/17/2018,2/11/2018
a100000244,1/18/2018,Youtube,personalization,English,English,0-18 years,1/18/2018,1/23/2018
a100000245,1/19/2018,Youtube,personalization,English,English,19-24 years,1/19/2018,
a100000246,1/20/2018,Youtube,personalization,English,English,24-30 years,1/20/2018,
a100000247,1/21/2018,Youtube,personalization,English,English,0-18 years,1/21/2018,
a100000248,1/10/2018,Youtube,personalization,English,English,0-18 years,,
a100000249,1/22/2018,Youtube,personalization,English,English,19-24 years,1/22/2018,
a100000250,1/10/2018,Youtube,personalization,English,English,19-24 years,,
a100000251,1/23/2018,Youtube,personalization,English,English,24-30 years,1/23/2018,
a100000252,1/10/2018,LinkedIn,personalization,English,English,24-30 years,,
a100000253,1/24/2018,Youtube,personalization,English,English,0-18 years,1/24/2018,
a100000254,1/10/2018,Youtube,personalization,English,English,0-18 years,,
a100000255,1/25/2018,Youtube,personalization,English,English,19-24 years,1/25/2018,
a100000256,1/10/2018,Youtube,personalization,English,English,19-24 years,,
a100000257,1/26/2018,Youtube,personalization,English,English,24-30 years,1/26/2018,
a100000258,1/10/2018,Youtube,personalization,English,English,24-30 years,,
a100000259,1/27/2018,Youtube,personalization,English,English,0-18 years,1/27/2018,
a100000260,1/10/2018,LinkedIn,personalization,English,English,0-18 years,,
a100000261,1/28/2018,Youtube,personalization,English,Spanish,19-24 years,1/28/2018,
a100000262,1/10/2018,Facebook,personalization,Spanish,Spanish,19-24 years,,
a100000263,1/29/2018,Youtube,personalization,English,English,24-30 years,1/29/2018,
a100000264,1/10/2018,Instagram,personalization,English,English,24-30 years,,
a100000265,1/30/2018,Youtube,personalization,English,English,0-18 years,1/30/2018,2/9/2018
a100000266,1/10/2018,Instagram,personalization,English,English,0-18 years,,
a100000267,1/31/2018,Youtube,personalization,English,English,19-24 years,1/31/2018,4/29/2018
a100000268,1/10/2018,Facebook,personalization,English,English,19-24 years,,
a100000269,1/11/2018,Youtube,personalization,English,English,24-30 years,1/11/2018,3/10/2018
a100000270,1/10/2018,Youtube,personalization,English,English,24-30 years,,
a100000271,1/12/2018,Youtube,personalization,English,English,0-18 years,1/12/2018,3/8/2018
a100000272,1/10/2018,Youtube,personalization,English,English,0-18 years,,
a100000273,1/13/2018,Youtube,personalization,English,English,19-24 years,1/13/2018,4/17/2018
a100000274,1/10/2018,Youtube,personalization,English,English,19-24 years,,
a100000275,1/14/2018,Youtube,personalization,English,English,24-30 years,1/14/2018,3/1/2018
a100000276,1/10/2018,Youtube,personalization,English,English,24-30 years,,
a100000277,1/15/2018,Youtube,personalization,English,English,30-36 years,1/15/2018,3/9/2018
a100000278,1/10/2018,LinkedIn,personalization,English,English,30-36 years,,
a100000279,1/16/2018,Youtube,personalization,English,English,36-45 years,1/16/2018,3/7/2018
a100000280,1/10/2018,Youtube,personalization,English,English,36-45 years,,
a100000281,1/17/2018,Youtube,personalization,English,Spanish,45-55 years,1/17/2018,2/8/2018
a100000282,1/10/2018,Youtube,personalization,Spanish,Spanish,45-55 years,,
a100000283,1/18/2018,Youtube,personalization,English,English,55+ years,1/18/2018,
a100000284,1/10/2018,Youtube,personalization,English,English,55+ years,,
a100000285,1/19/2018,Youtube,personalization,English,English,0-18 years,1/19/2018,
a100000286,1/10/2018,LinkedIn,personalization,English,English,0-18 years,,
a100000287,1/20/2018,Youtube,personalization,English,German,19-24 years,1/20/2018,
a100000288,1/10/2018,Facebook,personalization,German,German,19-24 years,,
a100000289,1/21/2018,Youtube,personalization,English,English,24-30 years,1/21/2018,3/4/2018
a100000290,1/10/2018,Instagram,personalization,English,English,24-30 years,,
a100000291,1/22/2018,Youtube,personalization,English,English,0-18 years,1/22/2018,2/22/2018
a100000292,1/10/2018,Instagram,personalization,English,English,0-18 years,,
a100000293,1/23/2018,Youtube,personalization,English,English,19-24 years,1/23/2018,4/22/2018
a100000294,1/10/2018,Youtube,personalization,English,English,19-24 years,,
a100000295,1/24/2018,Youtube,personalization,English,English,24-30 years,1/24/2018,1/25/2018
a100000296,1/10/2018,Youtube,personalization,English,English,24-30 years,,
a100000297,1/25/2018,Youtube,personalization,English,German,0-18 years,1/25/2018,3/27/2018
a100000298,1/10/2018,Youtube,personalization,German,German,0-18 years,,
a100000299,1/26/2018,Youtube,personalization,English,English,19-24 years,1/26/2018,3/25/2018
a100000300,1/27/2018,Youtube,personalization,English,Arabic,24-30 years,1/27/2018,2/17/2018
a100000301,1/28/2018,Youtube,personalization,English,Spanish,0-18 years,1/28/2018,3/1/2018
a100000302,1/29/2018,Youtube,personalization,English,English,19-24 years,1/29/2018,2/20/2018
a100000303,1/30/2018,Youtube,personalization,English,English,24-30 years,1/30/2018,
a100000304,1/31/2018,Youtube,personalization,English,English,0-18 years,1/31/2018,
a100000305,1/11/2018,Youtube,personalization,English,English,19-24 years,1/11/2018,2/24/2018
a100000306,1/12/2018,Youtube,personalization,English,English,24-30 years,1/12/2018,2/21/2018
a100000307,1/13/2018,Youtube,control,English,German,0-18 years,1/13/2018,2/12/2018
a100000308,1/14/2018,Youtube,control,English,English,19-24 years,1/14/2018,2/18/2018
a100000309,1/15/2018,Youtube,control,English,English,24-30 years,1/15/2018,3/17/2018
a100000310,1/16/2018,Youtube,control,English,English,30-36 years,1/16/2018,3/29/2018
a100000311,1/17/2018,Youtube,control,English,Spanish,36-45 years,1/17/2018,2/16/2018
a100000312,1/18/2018,Youtube,control,English,English,45-55 years,1/18/2018,2/10/2018
a100000313,1/19/2018,Youtube,control,English,English,55+ years,1/19/2018,4/6/2018
a100000314,1/20/2018,Youtube,control,English,English,0-18 years,1/20/2018,
a100000315,1/21/2018,Youtube,control,English,English,19-24 years,1/21/2018,
a100000316,1/22/2018,Youtube,control,English,Arabic,24-30 years,1/22/2018,
a100000317,1/23/2018,Youtube,control,English,English,30-36 years,1/23/2018,
a100000318,1/24/2018,Youtube,control,English,English,36-45 years,1/24/2018,
a100000319,1/25/2018,Youtube,control,English,German,45-55 years,1/25/2018,
a100000320,1/26/2018,Youtube,control,English,Spanish,55+ years,1/26/2018,
a100000321,1/27/2018,Youtube,control,English,Spanish,0-18 years,1/27/2018,
a100000322,1/28/2018,Youtube,control,English,English,19-24 years,1/28/2018,
a100000323,1/29/2018,Youtube,control,English,English,24-30 years,1/29/2018,4/9/2018
a100000324,1/30/2018,Youtube,control,English,Spanish,30-36 years,1/30/2018,3/23/2018
a100000325,1/31/2018,Youtube,control,English,English,36-45 years,1/31/2018,5/9/2018
a100000326,1/11/2018,Youtube,control,English,English,45-55 years,1/11/2018,3/20/2018
a100000327,1/12/2018,Youtube,control,English,English,55+ years,1/12/2018,2/5/2018
a100000328,1/13/2018,Youtube,control,English,English,0-18 years,1/13/2018,3/19/2018
a100000329,1/14/2018,Youtube,control,English,English,19-24 years,1/14/2018,1/28/2018
a100000330,1/15/2018,Youtube,control,English,English,24-30 years,1/15/2018,3/22/2018
a100000331,1/16/2018,Youtube,control,English,English,30-36 years,1/16/2018,2/1/2018
a100000332,1/17/2018,Youtube,control,English,Spanish,36-45 years,1/17/2018,2/3/2018
a100000333,1/18/2018,Youtube,control,English,German,45-55 years,1/18/2018,3/31/2018
a100000334,1/19/2018,Youtube,control,English,English,55+ years,1/19/2018,4/19/2018
a100000335,1/20/2018,Youtube,control,English,Arabic,0-18 years,1/20/2018,1/31/2018
a100000336,1/21/2018,Youtube,control,English,English,19-24 years,1/21/2018,4/3/2018
a100000337,1/22/2018,Youtube,control,English,English,24-30 years,1/22/2018,2/16/2018
a100000338,1/23/2018,Youtube,control,English,English,30-36 years,1/23/2018,3/28/2018
a100000339,1/24/2018,Youtube,control,English,English,36-45 years,1/24/2018,2/20/2018
a100000340,1/25/2018,Youtube,control,English,English,45-55 years,1/25/2018,
a100000341,1/26/2018,Youtube,control,English,Spanish,55+ years,1/26/2018,
a100000342,1/27/2018,Youtube,personalization,English,English,0-18 years,1/27/2018,
a100000343,1/28/2018,Youtube,personalization,English,English,19-24 years,1/28/2018,2/5/2018
a100000344,1/29/2018,Youtube,personalization,English,Arabic,24-30 years,1/29/2018,3/9/2018
a100000345,1/30/2018,Youtube,personalization,English,English,30-36 years,1/30/2018,4/8/2018
a100000346,1/31/2018,Youtube,personalization,English,Arabic,36-45 years,1/31/2018,4/19/2018
a100000347,1/11/2018,Youtube,personalization,English,English,45-55 years,1/11/2018,2/25/2018
a100000348,1/13/2018,Youtube,personalization,English,English,55+ years,1/13/2018,1/24/2018
a100000349,1/14/2018,Youtube,personalization,English,English,0-18 years,1/14/2018,1/22/2018
a100000350,1/15/2018,Youtube,personalization,English,English,19-24 years,1/15/2018,4/8/2018
a100000351,1/16/2018,Youtube,personalization,English,English,24-30 years,1/16/2018,3/13/2018
a100000352,1/17/2018,Youtube,personalization,English,Spanish,0-18 years,1/17/2018,
a100000353,1/18/2018,Youtube,personalization,English,English,19-24 years,1/18/2018,
a100000354,1/19/2018,Youtube,personalization,English,Arabic,24-30 years,1/19/2018,
a100000355,1/20/2018,Youtube,personalization,English,English,0-18 years,1/20/2018,
a100000356,1/22/2018,Youtube,personalization,English,English,19-24 years,1/22/2018,
a100000357,1/23/2018,Youtube,personalization,English,English,24-30 years,1/23/2018,
a100000358,1/24/2018,Youtube,personalization,English,English,0-18 years,1/24/2018,
a100000359,1/25/2018,Youtube,personalization,English,English,19-24 years,1/25/2018,
a100000360,1/26/2018,Youtube,personalization,English,English,24-30 years,1/26/2018,
a100000361,1/27/2018,Youtube,personalization,English,English,0-18 years,1/27/2018,
a100000362,1/28/2018,Youtube,personalization,English,English,19-24 years,1/28/2018,
a100000363,1/29/2018,Youtube,personalization,English,Arabic,24-30 years,1/29/2018,
a100000364,1/30/2018,Youtube,personalization,English,English,0-18 years,1/30/2018,
a100000365,1/31/2018,Youtube,personalization,English,Spanish,19-24 years,1/31/2018,
a100000366,1/11/2018,Youtube,personalization,English,English,24-30 years,1/11/2018,
a100000367,1/13/2018,Youtube,personalization,English,English,30-36 years,1/13/2018,
a100000368,1/14/2018,Youtube,personalization,English,English,36-45 years,1/14/2018,
a100000369,1/15/2018,Youtube,personalization,English,English,45-55 years,1/15/2018,
a100000370,1/16/2018,Youtube,personalization,English,English,55+ years,1/16/2018,
a100000371,1/17/2018,Youtube,personalization,English,English,0-18 years,1/17/2018,
a100000372,1/18/2018,Youtube,personalization,English,English,19-24 years,1/18/2018,
a100000373,1/20/2018,Youtube,personalization,English,English,24-30 years,1/20/2018,
a100000374,1/21/2018,Youtube,personalization,English,English,0-18 years,1/21/2018,
a100000375,1/22/2018,Youtube,personalization,English,German,19-24 years,1/22/2018,
a100000376,1/24/2018,Youtube,personalization,English,English,24-30 years,1/24/2018,
a100000377,1/25/2018,Youtube,personalization,English,English,0-18 years,1/25/2018,
a100000378,1/26/2018,Youtube,personalization,English,English,19-24 years,1/26/2018,
